2439.55,105.52,2439.54,105.53,14886,6,2020,7,17,2020,8,15,0.088,1
29.88,1.81,29.87,1.82,275,9,2020,7,17,2020,8,13,0.088,1
670.63,26.62,670.62,26.63,6051.18,9,2020,7,17,2020,8,4,0.088,1
243.04,10.13,243.03,10.14,1480.77,6,2020,7,17,2020,8,14,0.088,1
34.72,5.87,34.71,5.88,890.16,24,2020,7,17,2020,8,13,0.088,1
345.99,41.55,345.98,41.56,8500,24,2020,7,17,2020,8,6,0.088,1
2061.8,89.18,2061.79,89.19,12581,6,2020,7,17,2020,8,15,0.088,1
54.25,0.71,54.24,0.72,162.5,3,2020,7,17,2020,8,4,0.088,1
6662.02,102.66,6662.01,102.67,20000,3,2020,7,17,2020,8,7,0.088,1
149.17,30.83,171.67,8.33,4000,24,2021,1,25,2021,3,4,0.075,1
600,4.62,600,1.25,600,1,2021,1,25,2021,3,4,0.075,1
2200,16.96,2200,4.58,2200,1,2021,1,25,2021,3,4,0.075,1
44.97,14.82,55.79,4,1922,36,2021,1,25,2021,3,4,0.075,1
88.75,18.35,102.14,4.96,2380,24,2021,1,25,2021,3,4,0.075,1
14.92,3.08,17.17,0.83,400,24,2021,1,25,2021,3,4,0.075,1
111.88,23.12,128.75,6.25,3000,24,2021,1,25,2021,3,4,0.075,1
145.44,30.06,167.38,8.12,3900,24,2021,1,25,2021,3,4,0.075,1
162.62,7.71,168.25,2.08,1000,6,2021,1,25,2021,3,4,0.075,1
9.7,2,11.16,0.54,260,24,2021,1,25,2021,3,4,0.075,1
329,2.54,329,0.69,329,1,2021,1,25,2021,3,4,0.075,1
22.38,4.62,25.75,1.25,600,24,2021,1,25,2021,3,4,0.075,1
300,2.31,300,0.62,300,1,2021,1,25,2021,3,4,0.075,1
233.98,77.08,290.23,20.83,10000,36,2021,1,25,2021,3,4,0.075,1
18.65,3.85,21.46,1.04,500,24,2021,1,25,2021,3,4,0.075,1
79.05,7.71,84.68,2.08,1000,12,2021,1,25,2021,3,4,0.075,1
18.65,3.85,21.46,1.04,500,24,2021,1,25,2021,3,4,0.075,1
111.88,23.12,128.75,6.25,3000,24,2021,1,25,2021,3,4,0.075,1
182.14,8.63,188.44,2.33,1120,6,2021,1,25,2021,3,4,0.075,1
74.58,15.42,85.83,4.17,2000,24,2021,1,25,2021,3,4,0.075,1
11.7,3.85,14.51,1.04,500,36,2021,1,25,2021,3,4,0.075,1
14.92,3.08,17.17,0.83,400,24,2021,1,25,2021,3,4,0.075,1
55.33,5.4,59.27,1.46,700,12,2021,1,25,2021,3,4,0.075,1
100,0.77,100,0.21,100,1,2021,1,25,2021,3,4,0.075,1
74.58,15.42,85.83,4.17,2000,24,2021,1,25,2021,3,4,0.075,1
22.38,4.62,25.75,1.25,600,24,2021,1,25,2021,3,4,0.075,1
11.19,2.31,12.88,0.62,300,24,2021,1,25,2021,3,4,0.075,1
12.01,2.48,13.82,0.67,322,24,2021,1,25,2021,3,4,0.075,1
42.24,8.73,48.61,2.36,1132.61,24,2021,1,25,2021,3,4,0.075,1
7.46,1.54,8.58,0.42,200,24,2021,1,25,2021,3,4,0.075,1
23.4,7.71,29.03,2.08,1000,36,2021,1,25,2021,3,4,0.075,1
100.72,9.82,107.89,2.65,1274.11,12,2021,1,25,2021,3,4,0.075,1
511.68,49.9,548.09,13.49,6473,12,2021,1,25,2021,3,4,0.075,1
39.53,3.85,42.34,1.04,500,12,2021,1,25,2021,3,4,0.075,1
111.88,23.12,128.75,6.25,3000,24,2021,1,25,2021,3,4,0.075,1
9.55,1.97,10.99,0.53,256,24,2021,1,25,2021,3,4,0.075,1
10.88,1.64,12.08,0.44,212.5,18,2021,1,25,2021,3,4,0.075,1
116.99,38.54,145.11,10.42,5000,36,2021,1,25,2021,3,4,0.075,1
7.83,1.62,9.01,0.44,210,24,2021,1,25,2021,3,4,0.075,1
